"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"AXAREL 9100","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Azobenzene","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Bardol B","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Barium Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Barium Chlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Barium Chloride","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Barium Cyanide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Barium Hydroxide","N0674-70","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Barium Iodide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Barium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Barium Oxide","N0674-70","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Barium Peroxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Barium Polysulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Barium Salts","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Barium Sulfate","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Barium Sulfide","N0674-70","1","1","1","1","1","1","1","1","2","4","1","1","2","1","1","1","1","1","",""
"Bayol 35","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","4","1","4","",""
"Bayol D","N0674-70","1","1","4","1","1","1","2","2","4","1","4","4","4","4","4","4","1","4","",""
"Beer","E3609-70","1","1","1","1","1","1","1","1","1","4","2","1","1","1","1","1","1","1","",""
"Beet Sugar Liquors","N0674-70","1","1","1","1","1","1","1","2","1","4","4","1","1","1","1","1","1","1","",""
"Benzaldehyde","E0540-80","4","4","1","4","1","1","2","4","4","4","4","1","4","4","4","1","4","2","",""
"Benzaldehyde Disulfonic Acid","FF200-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Benzamide","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzanthrone","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","3","4","",""
"Benzene Hexachloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Benzenesulfonic Acid 10%","V1164-75","4","4","4","1","1","1","2","2","4","4","4","4","4","4","4","1","2","4","",""
"Benzidine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzidine 3 Sulfonic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzil","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzilic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzine (Ligroin)","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","3","1","4","",""
"Benzocatechol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzochloride","V1164-75","4","4","1","1","1","1","1","4","4","4","X","2","4","4","4","4","1","X","",""
"Benzoic Acid","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Benzoin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzonitrile","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Benzophenone","V1164-75","X","X","2","1","1","1","2","X","4","4","4","2","4","4","X","X","1","X","",""
"Benzoquinone","V1164-75","X","X","2","1","1","1","2","X","4","4","4","2","4","4","X","X","X","X","",""
"Benzotrichloride","V1164-75","4","4","1","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Benzotrifluoride","V1164-75","4","4","1","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Benzoyl Chloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzoyl Peroxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Benzoylsulfonilic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzyl Acetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Benzyl Alcohol","V1164-75","4","4","2","1","1","1","2","2","4","4","4","2","4","4","4","2","2","2","",""
"Benzyl Amine","FF500-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Benzyl Benzoate","V1164-75","4","4","4","1","1","1","2","4","4","4","4","2","4","4","4","4","1","4","",""
"Benzyl Bromide","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Benzyl Butyl Phthalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Benzyl Chloride","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Benzyl Phenol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Benzyl Salicylate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Beryllium Chloride","N0674-70","1","1","1","1","1","1","1","3","3","3","3","1","3","3","3","3","3","3","",""
"Beryllium Fluoride","N0674-70","1","1","1","1","1","1","1","3","3","3","3","1","3","3","3","3","3","3","",""
"Beryllium Oxide","N0674-70","1","1","1","1","1","1","1","3","3","3","3","1","3","3","3","3","3","3","",""
"Beryllium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bismuth Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bismuth Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bismuth Oxychloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bittern","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Black Liquor","E0540-80","2","X","1","1","4","3","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Black Point 77","N0674-70","1","1","1","1","1","1","1","3","3","3","3","1","3","3","3","3","3","3","",""
"Blast Furnace Gas","S0604-70","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","1","",""
"Bleach Liquor","E0540-80","3","3","1","1","1","1","1","2","3","4","4","1","2","2","3","1","2","2","",""
"Bleach Solutions","E0540-80","X","X","1","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Borax","E0540-80","2","2","1","1","1","1","1","4","2","2","1","1","2","2","2","4","2","2","",""
"Borax Solutions","E0540-80","X","X","1","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Bordeaux Mixture","E0540-80","2","2","1","1","1","1","1","2","2","4","4","1","2","2","2","1","2","2","",""
"Boric Acid","N0674-70","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","",""
"Boric Oxide","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Borneol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Bornyl Acetate","V1164-75","2","2","4","1","2","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Bornyl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Bornyl Formate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Boron Fluids (HEF)","V1164-75","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Boron Hydride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Boron Phosphate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Boron Tribromide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Boron Trichloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Boron Trifluoride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Boron Trioxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"BP Turbine Oil 2197","VM835-75","4","4","4","3","1","1","2","4","4","4","4","4","4","4","4","4","4","4","",""
"Brake Fluid DOT 3 (Glycol Type)","E0667-70","3","3","1","4","1","1","2","2","1","X","4","2","X","X","X","2","4","3","",""
"Brake Fluid DOT 4","E0667-70","3","3","1","4","1","1","2","2","1","X","4","2","X","X","X","2","4","3","",""
"Brake Fluid DOT 5","E0667-70","2","1","1","1","1","1","1","2","X","X","X","1","X","X","X","X","3","4","",""
"Bray GG-130","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Brayco 719-R (VV-H-910)","E0603-70","3","3","1","4","1","1","2","2","X","4","4","2","2","2","2","2","2","2","",""
"Brayco 885 (MIL-L-6085A)","V1164-75","2","2","4","1","1","1","2","4","4","2","1","4","4","4","4","4","2","4","",""
"Brayco 910","E0540-80","2","2","1","4","1","1","2","2","2","3","3","1","1","1","1","1","4","4","",""
"Bret 710","E0540-80","2","2","1","4","1","1","2","2","2","3","3","1","1","1","1","1","4","4","",""
"Brine","N0674-70","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Brine (Seawater)","N0674-70","1","1","1","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Brom - 113","V3819-75","3","3","4","X","X","X","3","4","4","X","X","4","X","X","X","4","X","4","",""
"Brom - 114","V3819-75","2","2","4","2","1","1","3","2","4","X","X","4","4","4","4","2","X","4","",""
"Bromic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bromine","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Bromine Pentafluoride","Factory","4","4","4","4","2","2","3","4","4","4","4","4","4","4","4","4","4","4","",""
"Bromine Trifluoride","Factory","4","4","4","4","2","2","3","4","4","4","4","4","4","4","4","4","4","4","",""
"Bromine Water","V1164-75","4","4","2","1","1","1","3","4","4","4","4","4","4","4","4","1","2","4","",""
"Bromobenzene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Bromobenzene Cyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Bromochlorotrifluoroethane (Halothane)","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Bromoform","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Bromomethane (Methyl Bromide)","V1164-75","2","2","4","1","1","1","1","4","4","3","X","4","4","4","4","4","1","X","",""
"Bromotrifluoroethylene (BFE)","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Bromotrifluoromethane (F-13B1)","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Brucine Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Buffered Oxide Etchants","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Bunker Oil","N0674-70","1","1","4","1","1","1","2","4","4","1","2","4","4","4","4","4","1","2","",""
"Bunker’s “C” (Fuel Oil)","N0674-70","1","X","X","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Butadiene (Monomer)","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Butane","N0674-70","1","1","4","1","1","1","2","1","3","1","1","4","4","4","4","2","3","4","",""
"Butane, 2, 2-Dimethyl","N0674-70","1","1","4","1","1","1","2","2","3","1","4","4","4","4","4","2","3","4","",""
"Butane, 2, 3-Dimethyl","N0674-70","1","1","4","1","1","1","2","2","3","1","4","4","4","4","4","2","3","4","",""
"Butanedial","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butanol (Butyl Alcohol)","N0674-70","1","1","2","1","1","1","1","1","1","4","4","2","1","1","1","1","1","2","",""
"Butene 2-Ethyl (1-Butene 2-Ethyl)","N0674-70","1","1","4","1","1","1","1","4","4","1","4","4","4","4","4","4","3","4","",""
"Butter","E1028-70","1","1","1","1","1","1","1","2","X","X","1","3","X","X","X","X","X","2","",""
"Butter-Animal Fat","N0508-75","1","1","1","1","1","1","1","2","4","1","1","2","4","4","4","2","1","2","",""
"Butyl Acetyl Ricinoleate","E0540-80","2","2","1","1","1","1","1","2","4","X","4","1","4","4","4","2","2","X","",""
"Butyl Acrylate","E0540-80","4","4","1","4","1","1","4","4","4","4","X","4","4","4","4","4","4","2","",""
"Butyl Alcohol","N0674-70","1","1","2","1","1","1","1","1","1","4","4","2","1","1","1","1","1","2","",""
"Butyl Alcohol (Secondary)","V1164-75","2","2","2","1","1","1","1","2","2","4","4","2","2","2","2","2","2","2","",""
"Butyl Alcohol (Tertiary)","V1164-75","2","2","2","1","1","1","1","2","2","4","4","2","2","2","2","2","2","2","",""
"Butyl Amine or N-Butyl Amine","N0674-70","1","1","3","4","1","1","3","4","4","4","4","4","4","4","4","4","4","4","",""
"Butyl Benzoate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Benzolate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Butyl Carbitol","E0540-80","4","4","1","3","1","1","2","3","4","4","X","1","4","4","4","2","4","4","",""
"Butyl Cellosolve","E0540-80","3","3","2","4","1","1","2","3","4","4","4","2","4","4","4","4","4","X","",""
"Butyl Cellosolve Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Cellosolve Adipate","E0540-80","4","4","2","2","1","1","2","4","4","4","4","2","4","4","4","4","2","2","",""
"Butyl Chloride","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Butyl Glycolate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Laurate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Methacrylate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Oleate","V1164-75","4","4","2","1","1","1","2","4","4","X","X","2","4","X","4","4","2","X","",""
"Butyl Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyl Stearate","V1164-75","2","2","4","1","1","1","2","4","4","X","X","4","4","4","4","4","2","X","",""
"Butylbenzoic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Butylene","V1164-75","2","2","4","1","1","1","2","3","4","4","4","4","4","4","4","4","2","4","",""
"Butyraldehyde","E0540-80","4","4","2","4","1","1","2","4","4","4","4","2","4","4","4","4","4","4","",""
"Butyric Acid","V1164-75","4","4","2","2","1","1","1","4","4","4","X","2","4","X","X","4","X","X","",""
"Butyric Anhydride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyrolacetone","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Butyryl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cadmium Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cadmium Cyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cadmium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cadmium Oxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cadmium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cadmium Sulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcine Liquors","N0674-70","1","1","1","1","1","1","1","X","X","4","4","1","X","X","X","X","1","X","",""
"Calcium Acetate","E0540-80","2","2","1","4","1","1","2","2","4","4","4","1","4","1","1","2","4","4","",""
"Calcium Arsenate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Benzoate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Calcium Bicarbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Bisulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Bisulfite","E0540-80","2","2","1","2","1","1","1","2","2","3","3","1","4","4","4","1","3","3","",""
"Calcium Bromide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Calcium Carbide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Calcium Carbonate","N0674-70","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","",""
"Calcium Chlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Chloride","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Calcium Chromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Cyanamide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Calcium Cyanide","N0674-70","1","1","1","X","1","1","1","1","1","X","X","1","1","1","1","1","X","1","",""
"Calcium Fluoride","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Calcium Gluconate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Hydride","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Calcium Hydrosulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Hydroxide","N0674-70","1","1","1","1","1","1","1","1","1","4","2","1","1","1","1","1","1","1","",""
"Calcium Hypochlorite","E0540-80","2","2","1","1","1","1","1","2","2","4","4","1","2","2","2","1","2","2","",""
"Calcium Hypophosphite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Naphthenate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Calcium Nitrate","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","",""
"Calcium Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Oxide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Calcium Permanganate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Calcium Peroxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Calcium Phenolsulfonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Calcium Phosphate","N0674-70","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","X","1","",""
"Calcium Phosphate Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
